Name,Alt Name,Year,Genre,Duration,Moviemeter Rank,Moviemeter Rating,IMDB Rank,IMDB Rating
The Shawshank Redemption, ,1994,Drama,142 minutes,1,"4,42",1,9.3
The Godfather,Mario Puzo's The Godfather,1972,Crime,175 minutes,2,"4,37",2,9.2
The Godfather: Part II,Mario Puzo's The Godfather: Part II,1974,Crime,202 minutes,3,"4,29",4,9.0
The Green Mile,Stephen King's The Green Mile,1999,"Fantasy, Drama",189 minutes,4,"4,28",28,8.6
Pulp Fiction, ,1994,"Crime, Drama",154 minutes,5,"4,26",8,8.9
The Lord of the Rings: The Return of the King, ,2003,"Adventure, Fantasy",201 minutes,7,"4,24",7,9.0
Schindler's List, ,1993,"War, Drama",195 minutes,8,"4,24",6,9.0
Se7en,Seven,1995,"Thriller, Crime",127 minutes,10,"4,22",20,8.6
The Lord of the Rings: The Fellowship of the Ring, ,2001,"Fantasy, Adventure",178 minutes,11,"4,21",9,8.8
Gladiator, ,2000,"History, Drama",155 minutes,13,"4,19",36,8.5
Scarface, ,1983,"Crime, Drama",170 minutes,14,"4,19",106,8.3
Goodfellas,GoodFellas,1990,"Crime, Drama",146 minutes,15,"4,19",17,8.7
American History X, ,1998,"Crime, Drama",119 minutes,16,"4,18",39,8.5
The Pianist, ,2002,"Drama, War",150 minutes,17,"4,18",33,8.5
Intouchables,The Intouchables,2011,"Comedy, Drama",112 minutes,18,"4,18",48,8.5
The Lord of the Rings: The Two Towers, ,2002,"Adventure, Fantasy",179 minutes,19,"4,16",13,8.8
Forrest Gump, ,1994,"Comedy, Drama",142 minutes,20,"4,16",11,8.8
Cidade de Deus,City of God,2002,"Drama, Crime",135 minutes,21,"4,15",26,8.6
The Dark Knight, ,2008,"Action, Crime",152 minutes,22,"4,13",3,9.0
The Silence of the Lambs, ,1991,"Thriller, Crime",118 minutes,23,"4,13",23,8.6
The Usual Suspects, ,1995,"Crime, Mystery",106 minutes,24,"4,12",44,8.5
Saving Private Ryan, ,1998,"War, Drama",169 minutes,25,"4,11",25,8.6
Heat, ,1995,"Crime, Thriller",170 minutes,26,"4,11",110,8.3
12 Angry Men,Twelve Angry Men,1957,Drama,96 minutes,29,"4,10",5,9.0
Fight Club, ,1999,"Comedy, Thriller",139 minutes,30,"4,09",12,8.8
American Beauty, ,1999,"Drama, Comedy",122 minutes,31,"4,09",71,8.3
Into the Wild, ,2007,"Biography, Drama",148 minutes,32,"4,06",228,8.1
Reservoir Dogs, ,1992,"Crime, Drama",99 minutes,33,"4,04",96,8.3
Léon,The Professional,1994,"Crime, Drama",110 minutes,34,"4,04",38,8.5
Requiem for a Dream, ,2000,Drama,101 minutes,35,"4,03",88,8.3
Jagten,The Hunt,2012,Drama,115 minutes,36,"4,03",95,8.3
Apocalypse Now,Apocalypse Now Redux,1979,"War, Drama",153 minutes,38,"4,02",55,8.4
Django Unchained, ,2012,"Western, Action",165 minutes,39,"4,02",57,8.5
Das Leben der Anderen,The Lives of Others,2006,"Drama, Thriller",137 minutes,40,"4,02",60,8.4
The Matrix, ,1999,"Scifi, Action",136 minutes,41,"4,01",16,8.7
Inception, ,2010,"Thriller, Scifi",148 minutes,43,"4,00",14,8.8
Braveheart, ,1995,"War, History",177 minutes,44,"4,00",78,8.3
The Lion King,De Leeuwenkoning,1994,"Animation, Family",89 minutes,45,"3,98",37,8.5
"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels",1998,"Crime, Comedy",107 minutes,46,"3,98",164,8.1
Seppuku,Harakiri,1962,Drama,135 minutes,47,"3,98",46,8.6
The Shining, ,1980,"Horror, Mystery",115 minutes,48,"3,97",64,8.4
Das Boot,De Andere Kant van de Oorlog,1981,"War, Drama",149 minutes,50,"3,97",77,8.4
Inglourious Basterds, ,2009,"War, Comedy",153 minutes,53,"3,96",70,8.3
The Departed, ,2006,"Crime, Thriller",151 minutes,55,"3,96",40,8.5
Der Untergang,Downfall,2004,"History, War",155 minutes,60,"3,95",125,8.2
Full Metal Jacket, ,1987,"War, Drama",116 minutes,61,"3,95",107,8.3
Prisoners, ,2013,"Crime, Thriller",153 minutes,64,"3,94",166,8.1
Joker, ,2019,"Crime, Drama",122 minutes,65,"3,94",80,8.4
North by Northwest,De Man Die Verdwijnen Moest,1959,"Thriller, Mystery",136 minutes,67,"3,94",102,8.3
Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,1991,"Action, Scifi",137 minutes,69,"3,93",30,8.6
Rear Window,De Stille Getuige,1954,"Thriller, Mystery",112 minutes,70,"3,93",52,8.5
Nuovo Cinema Paradiso,Cinema Paradiso,1988,Drama,155 minutes,72,"3,93",50,8.5
Trainspotting, ,1996,"Drama, Comedy",94 minutes,73,"3,92",170,8.1
