Name,Alt Name,Year,Genre,Duration,Moviemeter Rank,Moviemeter Rating
The Shawshank Redemption, ,1994,Drama,142 minutes,1,"4,42"
The Godfather,Mario Puzo's The Godfather,1972,Crime,175 minutes,2,"4,37"
The Godfather: Part II,Mario Puzo's The Godfather: Part II,1974,Crime,202 minutes,3,"4,29"
The Green Mile,Stephen King's The Green Mile,1999,"Fantasy, Drama",189 minutes,4,"4,28"
Pulp Fiction, ,1994,"Crime, Drama",154 minutes,5,"4,26"
C'era una Volta il West,Once upon a Time in the West,1968,Western,165 minutes,6,"4,25"
The Lord of the Rings: The Return of the King, ,2003,"Adventure, Fantasy",201 minutes,7,"4,24"
Schindler's List, ,1993,"War, Drama",195 minutes,8,"4,24"
"Il Buono, il Brutto, il Cattivo","The Good, the Bad and the Ugly",1966,Western,161 minutes,9,"4,24"
Se7en,Seven,1995,"Thriller, Crime",127 minutes,10,"4,22"
The Lord of the Rings: The Fellowship of the Ring, ,2001,"Fantasy, Adventure",178 minutes,11,"4,21"
One Flew over the Cuckoo's Nest, ,1975,Drama,133 minutes,12,"4,20"
Gladiator, ,2000,"History, Drama",155 minutes,13,"4,19"
Scarface, ,1983,"Crime, Drama",170 minutes,14,"4,19"
Goodfellas,GoodFellas,1990,"Crime, Drama",146 minutes,15,"4,19"
American History X, ,1998,"Crime, Drama",119 minutes,16,"4,18"
The Pianist, ,2002,"Drama, War",150 minutes,17,"4,18"
Intouchables,The Intouchables,2011,"Comedy, Drama",112 minutes,18,"4,18"
The Lord of the Rings: The Two Towers, ,2002,"Adventure, Fantasy",179 minutes,19,"4,16"
Forrest Gump, ,1994,"Comedy, Drama",142 minutes,20,"4,16"
Cidade de Deus,City of God,2002,"Drama, Crime",135 minutes,21,"4,15"
The Dark Knight, ,2008,"Action, Crime",152 minutes,22,"4,13"
The Silence of the Lambs, ,1991,"Thriller, Crime",118 minutes,23,"4,13"
The Usual Suspects, ,1995,"Crime, Mystery",106 minutes,24,"4,12"
Saving Private Ryan, ,1998,"War, Drama",169 minutes,25,"4,11"
Heat, ,1995,"Crime, Thriller",170 minutes,26,"4,11"
Once upon a Time in America,C'era una Volta in America,1984,"Crime, Drama",229 minutes,27,"4,11"
La Meglio Gioventù,The Best of Youth,2003,Drama,366 minutes,28,"4,11"
12 Angry Men,Twelve Angry Men,1957,Drama,96 minutes,29,"4,10"
Fight Club, ,1999,"Comedy, Thriller",139 minutes,30,"4,09"
American Beauty, ,1999,"Drama, Comedy",122 minutes,31,"4,08"
Into the Wild, ,2007,"Biography, Drama",148 minutes,32,"4,06"
Reservoir Dogs, ,1992,"Crime, Drama",99 minutes,33,"4,04"
Léon,The Professional,1994,"Crime, Drama",110 minutes,34,"4,04"
Requiem for a Dream, ,2000,Drama,101 minutes,35,"4,03"
Jagten,The Hunt,2012,Drama,115 minutes,36,"4,03"
Snatch, ,2000,"Crime, Comedy",104 minutes,37,"4,02"
Apocalypse Now,Apocalypse Now Redux,1979,"War, Drama",153 minutes,38,"4,02"
Django Unchained, ,2012,"Western, Action",165 minutes,39,"4,02"
Das Leben der Anderen,The Lives of Others,2006,"Drama, Thriller",137 minutes,40,"4,02"
The Matrix, ,1999,"Scifi, Action",136 minutes,41,"4,01"
Le Fabuleux Destin d'Amélie Poulain,Amélie,2001,"Comedy, Romance",122 minutes,42,"4,01"
Inception, ,2010,"Thriller, Scifi",148 minutes,43,"4,00"
Braveheart, ,1995,"War, History",177 minutes,44,"4,00"
The Lion King,De Leeuwenkoning,1994,"Animation, Family",89 minutes,45,"3,98"
"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels",1998,"Crime, Comedy",107 minutes,46,"3,98"
Seppuku,Harakiri,1962,Drama,135 minutes,47,"3,98"
The Shining, ,1980,"Horror, Mystery",115 minutes,48,"3,97"
La Vita È Bella,Life Is Beautiful,1997,"Comedy, War",122 minutes,49,"3,97"
Das Boot,De Andere Kant van de Oorlog,1981,"War, Drama",149 minutes,50,"3,97"
Shichinin no Samurai,Seven Samurai,1954,"Action, Drama",207 minutes,51,"3,97"
Le Trou,The Hole,1960,"Thriller, Drama",132 minutes,52,"3,97"
Inglourious Basterds, ,2009,"War, Comedy",153 minutes,53,"3,96"
Blood Diamond, ,2006,"Drama, Thriller",143 minutes,54,"3,96"
The Departed, ,2006,"Crime, Thriller",151 minutes,55,"3,96"
Donnie Darko, ,2001,"Mystery, Drama",113 minutes,56,"3,96"
Star Wars: Episode V - The Empire Strikes Back, ,1980,"Fantasy, Scifi",124 minutes,57,"3,96"
Tengoku to Jigoku,High and Low,1963,"Thriller, Crime",143 minutes,58,"3,96"
Avatar, ,2009,"Fantasy, Adventure",162 minutes,59,"3,95"
Der Untergang,Downfall,2004,"History, War",155 minutes,60,"3,95"
Full Metal Jacket, ,1987,"War, Drama",116 minutes,61,"3,95"
Sen to Chihiro no Kamikakushi,Spirited Away,2001,"Animation, Fantasy",125 minutes,62,"3,95"
Slumdog Millionaire, ,2008,"Drama, Crime",120 minutes,63,"3,94"
Prisoners, ,2013,"Crime, Thriller",153 minutes,64,"3,94"
Joker, ,2019,"Crime, Drama",122 minutes,65,"3,94"
Amores Perros,Love's a Bitch,2000,"Crime, Drama",154 minutes,66,"3,94"
North by Northwest,De Man Die Verdwijnen Moest,1959,"Thriller, Mystery",136 minutes,67,"3,94"
Donnie Brasco, ,1997,"Crime, Drama",127 minutes,68,"3,93"
Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,1991,"Action, Scifi",137 minutes,69,"3,93"
Rear Window,De Stille Getuige,1954,"Thriller, Mystery",112 minutes,70,"3,93"
Idi i Smotri,Come and See,1985,"Drama, War",145 minutes,71,"3,93"
Nuovo Cinema Paradiso,Cinema Paradiso,1988,Drama,155 minutes,72,"3,93"
Trainspotting, ,1996,"Drama, Comedy",94 minutes,73,"3,92"
A Clockwork Orange, ,1971,Crime,136 minutes,74,"3,92"
Alien, ,1979,"Horror, Scifi",117 minutes,75,"3,92"
1917, ,2019,"Drama, War",119 minutes,76,"3,92"
